def,ID pers,ID,ID loan,п1,п2,п3,п4,п5,п6,п7,п8,п9,п10,п11,п12,п13,п14,п15,п16,п17,п18,п19,п20,п21,п22,п23,п24,п25,п26,п27,п28,п29,п30,п31,п32,п33,п34,п35,п36,п37,п38,п39,п40,п41,п42,п43,п44,п45,п46,п47,п48,п49,п50,п51,п52,п53,п54,п55,п56,п57,п58,п59,п60,п61,п62,п63,п64,п65,п66,
0,099YI4,51.040821.007,51-050821-1-1,Классик,Нет,Нет,24.9,4900,2800,36,36,52,2,бе,нв,1,а,н,0,0,0,сс,п,р,69,у,Нет,Нет,Нет,0,0,284.96,284.96,188.5,188.5,р,38.68,600,дз,728.14,874.4,600,Нет,51000,05.08.2021,,зн,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,2800,Нет,Нет,69,
0,510701,65.040821.001,65-040821-1-1,Престиж,Нет,Нет,24.9,6000,6000,36,36,62,1,бе,за,1,с,б,27,0,0,в,п,п,23,у,Нет,Нет,Нет,0,1,993.23,993.23,993.23,993.23,и,22.21,1308.27,дз,0,0,1308.27,Нет,65000,04.08.2021,,дк,885,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,6000,Нет,Нет,,
0,152402,65.040821.005,65-040821-1-3,Престиж,Да,Нет,24.9,3500,3500,36,36,21,1,бе,ос,1,р,н,0,0,0,сс,п,р,23,т,Нет,Нет,Нет,0,0,426.27,426.27,418.17,418.17,р,37.11,896.31,ду,916.87,1120.1,896.31,Нет,65000,04.08.2021,,дк,697,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,3500,Нет,Нет,23,
0,099YL2,65.040821.006,65-050821-1-1,Классик,Нет,Нет,24.9,11000,11000,36,36,46,2,бе,нв,2,с,б,26,1,0,в,п,с,53,у,Нет,Нет,Нет,0,0,888.38,888.38,888.38,888.38,р,39.15,1360.94,дз,1112.52,874.4,1360.94,Нет,65000,04.08.2021,,и,208,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,11000,Нет,Нет,53,
0,099YAJ,68.040821.001,68-040821-1-1,Классик,Нет,Нет,24.9,4100,4100,36,36,39,2,бе,во,2,с,б,8,0,0,в,п,с,123,зо,Нет,Нет,Нет,0,0,1141.63,1141.63,1123.61,1123.61,р,37.26,1950,дф,1976.03,1094.2,1976.03,Нет,68000,04.08.2021,,зн,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,4100,Нет,Нет,167,
0,099YB5,68.040821.002,68-040821-1-2,Классик,Нет,Нет,24.9,4000,4000,36,36,34,1,бе,за,2,с,б,1,0,0,с,п,р,132,у,Нет,Нет,Нет,0,0,968.54,968.54,776.14,776.14,р,32.1,1413.58,дф,1321.63,874.4,1321.63,Нет,68000,04.08.2021,,и,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,4000,Нет,Нет,165,
0,099YL0,71.040821.003,71-050821-1-1,Классик,Нет,Нет,24.9,5000,5000,36,36,25,1,ту,за,1,а,б,1,1,1,в,п,с,15,у,Нет,Нет,Нет,0,0,377.44,377.44,633.77,633.77,р,21.89,850,р,0,874.4,1106.33,Нет,71000,04.08.2021,,ксб,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,5000,Нет,Нет,,
1,099X95,74.040821.002,74-040821-1-1,Классик,Нет,Нет,24.9,4225,4225,36,36,43,2,бе,нв,1,с,б,5,0,0,с,п,пр,38,т,Нет,Нет,Нет,0,0,604.96,604.96,613.24,613.24,р,29.11,1000,дф,1020.88,1120.1,1020.88,Нет,74000,04.08.2021,,и,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,4225,Нет,Нет,38,
1,099YGU,74.040821.003,74-040821-1-2,Классик,Нет,Нет,24.9,1360,1360,36,36,33,2,бе,нв,1,о,б,13,2,0,сс,п,с,6,т,Нет,Нет,Нет,1,0,269.92,269.92,88.51,88.51,р,9.17,900,дф,718.59,1120.1,718.59,Нет,74000,04.08.2021,,и,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,1360,Нет,Нет,6,
0,0990BB,77.040821.001,77-110821-1-1,Классик,Нет,Нет,24.9,5000,5000,36,36,30,1,бе,за,1,р,н,0,0,0,сс,п,с,53,т,Нет,Нет,Нет,0,1,534.96,534.96,534.96,534.96,р,28.49,850,дз,856.36,1120.1,850,Нет,77000,11.08.2021,,и,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,5000,Нет,Нет,53,
0,566759,78.040821.002,78-040821-1-1,Классик,Нет,Нет,24.9,8000,8000,36,36,46,1,бе,за,1,р,б,23,1,0,с,п,р,15,бу,Нет,Нет,Нет,0,0,1087.08,1087.08,1087.08,1087.08,р,24.84,1559.64,дз,1577.25,1388,1559.64,Нет,78000,04.08.2021,,и,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,8000,Нет,Нет,3,
0,612838,81.040821.001,81-050821-1-1,Престиж,Да,Нет,24.9,5000,5000,36,36,36,2,бе,нв,1,р,б,8,0,0,сс,п,с,156,т,Нет,Нет,Нет,0,0,553.18,553.18,553.18,553.18,р,27.89,868.22,дз,868.22,1120.1,868.22,Нет,81000,04.08.2021,,дк,843,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,5000,Нет,Нет,179,
0,489210,81.040821.002,81-050821-1-2,Престиж,Да,Нет,24.9,1000,1000,24,24,37,2,бе,нв,1,о,р,0,1,0,сс,п,р,76,пп,Нет,Нет,Нет,0,0,483.54,483.54,514.3,514.3,р,13.27,1066.1,дз,0,1290.3,1066.1,Нет,81000,05.08.2021,,дк,,Нет,Нет,Нет,Нет,24.9,,24,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,1000,Нет,Нет,,
0,099YC5,83.040821.001,83-040821-1-1,Классик,Нет,Нет,24.9,20000,20000,36,36,42,1,бе,за,2,с,б,16,1,0,в,п,пр,18,бу,Нет,Нет,Нет,0,0,3411.29,3411.29,3033.8,3033.8,р,27.63,3883.85,дф,3506.36,1388,3506.36,Нет,83000,04.08.2021,,и,761,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,20000,Нет,Нет,18,
0,099YIT,84.040821.005,84-040821-1-3,Классик,Нет,Нет,24.9,1055,1055,24,24,27,2,бе,нв,1,р,н,0,1,0,сс,п,р,3,пп,Нет,Нет,Нет,0,0,427.44,427.44,388.86,388.86,р,11.59,900,дз,1614.11,1290.3,900,Нет,84000,04.08.2021,,и,,Нет,Нет,Нет,Нет,24.9,,24,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,1055,Нет,Нет,3,
0,486886,86.040821.001,86-040821-1-1,Престиж,Да,Нет,24.9,15000,5000,36,36,57,1,бе,за,1,с,б,33,0,0,с,п,п,26,у,Нет,Нет,Нет,0,0,6055.59,6055.59,6055.59,6055.59,и,3.81,6705.93,дз,717.68,0,6705.93,Нет,86000,04.08.2021,,зн,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,5000,Нет,Нет,10,
0,09593T,86.040821.004,86-040821-1-2,Престиж,Нет,Нет,24.9,2500,1100,36,36,31,1,бе,за,1,с,б,3,1,0,с,п,р,26,пп,Нет,Нет,Нет,0,0,302.44,302.44,186.91,186.91,р,39.39,1000,дз,1103.67,1290.3,1000,Нет,86000,04.08.2021,,ре,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,1100,Нет,Нет,27,
0,099YAU,91.040821.001,91-040821-1-1,Классик,Нет,Нет,24.9,2100,1500,36,36,23,2,бе,нв,1,р,н,0,0,0,сс,п,р,17,т,Нет,Нет,Нет,0,0,179.96,179.96,143.03,143.03,р,38.35,650,дф,624.99,1120.1,624.99,Нет,91000,04.08.2021,,и,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,1500,Нет,Нет,16,
1,099YE8,91.040821.002,91-040821-1-2,Классик,Нет,Нет,24.9,5000,5000,36,36,24,1,бе,ос,1,р,н,0,0,0,сс,п,р,73,сх,Нет,Нет,Нет,0,2,684.96,684.96,684.96,684.96,р,24.25,1000,дз,2069.31,919.2,1000,Нет,91000,04.08.2021,,и,243,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,5000,Нет,Нет,72,
0,0993QF,53.050821.002,53-230821-1-3,Классик,Нет,Нет,24.9,25000,20000,36,36,41,1,бе,нв,1,с,б,12,1,0,в,п,п,25,ит,Нет,Нет,Нет,0,1,10267.27,10267.27,10267.27,10267.27,и,9.02,10739.83,дз,0,0,10739.83,Нет,53000,05.08.2021,,зн,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,20000,Нет,Нет,,
0,099YUY,54.050821.002,54-050821-1-2,Классик,Нет,Нет,24.9,2555,2555,36,36,53,1,бе,за,1,р,б,4,1,0,с,п,с,11,сх,Нет,Нет,Нет,0,0,487.44,487.44,295.12,295.12,р,29.35,1100,дф,911.42,919.2,911.42,Нет,54000,05.08.2021,,и,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,2555,Нет,Нет,10,
0,099YSR,55.050821.001,55-050821-1-2,Классик,Нет,Нет,24.9,3820,3820,36,36,54,1,бе,за,1,о,б,5,0,0,сс,п,р,79,у,Нет,Нет,Нет,0,0,984.96,984.96,535.14,535.14,р,21.76,1300,дф,850.18,874.4,850.18,Нет,55000,05.08.2021,,зн,207,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,3820,Нет,Нет,73,
0,099YOZ,56.050821.001,56-050821-1-5,Классик,Нет,Нет,24.9,1005,1005,12,12,23,2,бе,нв,1,р,н,0,0,0,сс,п,с,48,у,Нет,Нет,Нет,0,0,734.96,734.96,712.92,712.92,р,23.03,1200,дз,1365.59,874.4,1200,Нет,56000,05.08.2021,,и,627,Нет,Нет,Нет,Нет,24.9,,12,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,1005,Нет,Нет,48,
0,099UF0,58.050821.002,58-050821-1-2,Классик,Нет,Нет,24.9,20000,5000,36,36,37,1,бе,нв,2,с,б,10,1,0,сс,п,п,106,у,Нет,Нет,Нет,0,16,7994.16,7994.16,6626.92,6626.92,и,6.55,9163,р,296.7,0,7794.48,Нет,58000,05.08.2021,,и,931,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,5000,Нет,Нет,6,
0,452886,58.050821.004,58-050821-1-1,Престиж,Да,Нет,24.9,3000,3000,36,36,50,1,бе,за,1,с,б,28,0,0,сс,п,р,122,пп,Нет,Нет,Нет,1,0,661.16,661.16,661.15,661.15,р,14.88,976.2,ду,846.99,1290.3,976.19,Нет,58000,05.08.2021,,зн,947,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,3000,Нет,Нет,122,
0,099YTU,66.050821.003,66-050821-1-7,Классик,Нет,Нет,24.9,2110,2110,36,36,43,2,бе,нв,1,с,р,0,1,0,с,,нп,0,,Нет,Нет,Нет,0,0,504.77,504.77,204.39,204.39,н,29.89,819.81,дз,0,0,819.81,Нет,66000,05.08.2021,,зн,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,2110,Нет,Нет,,
0,0982IY,66.050821.004,66-050821-1-6,Классик,Нет,Нет,24.9,600,600,20,20,61,2,бе,нв,1,с,р,0,0,0,сс,п,нп,0,,Нет,Нет,Нет,0,0,148.91,148.91,137.51,137.51,н,24.59,543.95,дз,0,0,543.95,Нет,66000,05.08.2021,,зн,,Нет,Нет,Нет,Нет,24.9,,20,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,600,Нет,Нет,,
0,099YWE,66.050821.005,66-090821-1-1,Классик,Нет,Нет,24.9,5900,5900,36,36,40,2,бе,нв,1,с,б,16,0,0,сс,п,с,107,кх,Нет,Нет,Нет,0,0,784.96,784.96,672.18,672.18,р,36.23,1100,дз,1360.27,816.2,1100,Нет,66000,05.08.2021,,зн,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,5900,Нет,Нет,107,
0,235496,67.050821.001,67-110821-1-1,Престиж,Нет,Нет,24.9,14000,14000,36,36,56,1,бе,за,1,с,б,34,0,0,в,п,с,54,у,Нет,Нет,Нет,0,0,1775.65,1775.65,1677.57,1677.57,р,36.19,2120.69,р,1139.3,874.4,2059.99,Нет,67000,11.08.2021,,дк,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,14000,Нет,Нет,55,
0,097EH3,71.050821.002,71-050821-1-2,Классик,Нет,Нет,24.9,5660,5200,36,36,48,2,бе,нв,1,с,р,0,0,0,сс,п,р,341,сх,Нет,Нет,Нет,0,1,844.96,844.96,724.05,724.05,р,39.44,1300,дз,1535.66,919.2,1300,Нет,71000,05.08.2021,,дк,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,5200,Нет,Нет,127,
0,099YUD,74.050821.002,74-050821-1-1,Классик,Нет,Нет,24.9,2720,2720,36,36,25,1,бе,за,1,р,н,0,0,0,сс,п,р,61,т,Нет,Нет,Нет,0,0,1172.96,1172.96,1104.79,1104.79,р,16.12,1539,р,0,1120.1,1535.58,Нет,74000,05.08.2021,,и,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,2720,Нет,Нет,,
0,603516,74.050821.004,74-060821-1-1,Классик,Нет,Нет,24.9,8900,8900,36,36,42,1,бе,за,1,с,б,11,2,0,сс,п,р,3,пп,Нет,Нет,Нет,0,0,523.92,523.92,552.4,552.4,р,36.45,1200,дф,1182.48,1290.3,1182.48,Нет,74000,06.08.2021,,и,742,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,8900,Нет,Нет,3,
0,1088IX,78.050821.002,78-310821-1-1,Престиж,Да,Нет,24.9,2000,2000,36,36,23,1,бе,ос,1,с,н,0,0,0,сс,п,с,15,т,Нет,Нет,Нет,0,3,534.96,534.96,493.21,493.21,р,7.47,900,ду,1155.9,1120.1,847.29,Нет,78000,30.08.2021,,и,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,2000,Нет,Нет,15,
0,099YMN,84.050821.001,84-050821-1-1,Классик,Нет,Нет,24.9,5500,4200,36,36,21,1,бе,за,1,р,н,0,0,0,с,п,р,6,т,Нет,Нет,Нет,0,0,484.96,484.96,205.99,205.99,р,39.04,800,дф,521.03,1120.1,521.03,Нет,84000,05.08.2021,,и,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,4200,Нет,Нет,6,
0,098H68,84.050821.002,84-050821-1-2,Классик,Нет,Нет,24.9,3300,3300,36,36,36,1,бе,за,1,р,б,9,1,0,в,п,с,73,у,Нет,Нет,Нет,0,1,1283.8,1283.8,689.06,689.06,р,22.51,1756.36,дф,1292.8,874.4,1292.8,Нет,84000,05.08.2021,,и,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,3300,Нет,Нет,73,
0,099YXC,84.050821.005,84-060821-1-1,Классик,Нет,Нет,24.9,4000,4000,36,36,33,2,бе,нв,1,р,р,0,1,0,сс,п,р,93,т,Нет,Нет,Нет,0,0,627.44,627.44,538.33,538.33,р,22.31,1100,дф,1051.86,1120.1,1051.86,Нет,84000,06.08.2021,,и,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,4000,Нет,Нет,40,
0,269720,01.060821.001,55-060821-1-1,Престиж,Да,Нет,24.9,2570,2570,36,36,29,2,бе,нв,1,р,н,0,0,0,в,п,с,37,т,Нет,Нет,Нет,0,0,1199.02,1199.02,1199.02,1199.02,р,8.22,1514.06,дз,1349.06,1120.1,1514.06,Нет,55000,06.08.2021,,дк,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,2570,Нет,Нет,58,
0,099Y03,51.060821.003,51-060821-1-1,Классик,Нет,Нет,24.9,2780,2780,36,36,53,1,бе,нв,1,с,б,31,0,0,с,п,р,371,сх,Нет,Нет,Нет,0,0,627.96,627.96,356.48,356.48,р,31.67,1000,дф,785.74,919.2,785.74,Нет,51000,06.08.2021,,зн,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,2780,Нет,Нет,125,
0,099Y5M,51.060821.004,51-060821-1-2,Классик,Нет,Нет,24.9,4380,4380,36,36,49,1,бе,за,1,р,б,27,0,0,сс,п,р,24,пп,Нет,Нет,Нет,0,0,684.96,684.96,602.18,602.18,р,23.13,1000,дф,917.22,1290.3,917.22,Нет,51000,06.08.2021,,зн,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,4380,Нет,Нет,24,
0,0909ZC,51.060821.005,51-100821-1-2,Престиж,Да,Нет,24.9,9270,8700,36,36,50,2,бе,нв,1,с,б,30,0,0,в,п,пр,14,т,Нет,Нет,Нет,0,0,907.96,907.96,885.22,885.22,р,39.56,1288,ду,1243.97,1120.1,1288.63,Нет,51000,06.08.2021,,дк,153,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,8700,Нет,Нет,13,
0,093VBG,52.060821.003,52-060821-1-1,Классик,Нет,Нет,24.9,3550,2100,36,36,62,1,бе,нв,1,с,б,39,0,0,сс,п,р,254,пп,Нет,Нет,Нет,0,1,609.96,609.96,455.36,455.36,р,39.21,1100,дз,1259.59,1290.3,1100,Нет,52000,06.08.2021,,и,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,2100,Нет,Нет,85,
0,152332,53.060821.002,53-060821-1-1,Престиж,Нет,Нет,24.9,2060,2060,36,36,45,1,бе,за,1,с,б,11,0,0,сс,п,р,299,пп,Нет,Нет,Нет,0,0,857.96,857.96,915.76,915.76,р,17.81,1300,дф,1376.12,1290.3,1376.12,Нет,53000,06.08.2021,,дк,865,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,2060,Нет,Нет,223,
0,786362,53.060821.003,53-060821-1-2,Престиж,Да,Нет,24.9,800,800,36,36,46,1,бе,за,2,с,б,23,1,0,в,п,пр,262,пп,Нет,Нет,Нет,0,0,354.92,354.92,543.01,543.01,р,27.11,1300,дф,1340.16,1290.3,1340.16,Нет,53000,06.08.2021,,дк,954,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,800,Нет,Нет,127,
0,099YYZ,54.060821.001,54-060821-1-1,Классик,Нет,Нет,24.9,8900,8900,36,36,61,1,бе,за,1,с,б,38,0,0,в,п,р,94,пп,Да,Нет,Нет,0,0,988.64,988.64,999.97,999.97,р,39.19,1453.68,дз,1036.15,1290.3,1453.68,Нет,54000,06.08.2021,,зн,704,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,8900,Нет,Нет,92,
0,525759,55.060821.001,55-100821-1-1,Престиж,Да,Нет,24.9,2070,2070,36,36,59,1,бе,за,1,с,б,37,0,0,сс,п,р,134,пп,Нет,Нет,Нет,1,0,656.03,656.03,652.34,652.34,р,24.01,1141.07,ду,1140.46,1290.3,1141.07,Нет,55000,06.08.2021,,дк,453,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,2070,Нет,Нет,132,
0,099Y57,55.060821.002,55-060821-1-3,Классик,Нет,Нет,24.9,9070,7700,36,36,30,2,бе,нв,1,р,б,5,1,0,в,п,с,96,зо,Нет,Нет,Нет,0,1,727.44,727.44,469.11,469.11,р,39.6,1200,дф,941.67,1094.2,941.67,Нет,55000,06.08.2021,,зн,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,7700,Нет,Нет,96,
0,094VP7,55.060821.003,55-060821-1-2,Классик,Нет,Нет,24.9,7070,4000,36,36,29,1,бе,нв,1,с,б,7,0,0,с,п,р,21,сх,Нет,Нет,Нет,0,2,769.96,769.96,419.19,419.19,р,39.36,1200,дф,891.26,919.2,891.26,Нет,55000,06.08.2021,,и,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,4000,Нет,Нет,20,
0,387014,55.060821.006,55-090821-1-1,Престиж,Нет,Да,24.9,7070,7070,36,36,39,2,бе,нв,1,с,б,8,0,0,сс,п,с,158,сх,Нет,Нет,Нет,0,1,754.96,754.96,748.48,748.48,р,39.91,1200,дз,1275.64,919.2,1200,Нет,55000,09.08.2021,,дк,993,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,7070,Нет,Нет,45,
0,099ZMH,56.060821.006,56-090821-1-1,Классик,Нет,Нет,24.9,5900,5900,36,36,28,1,бе,за,1,с,б,2,1,0,сс,п,р,86,т,Нет,Нет,Нет,0,0,465.44,465.44,861.13,861.13,р,25,1000,дф,1397.26,1120.1,1397.26,Нет,56000,06.08.2021,,и,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,5900,Нет,Нет,74,
0,099EZJ,57.060821.001,57-090821-1-5,Престиж,Да,Нет,24.9,5100,5100,36,36,23,1,бе,за,1,р,н,0,0,0,в,п,с,3,у,Нет,Нет,Нет,0,0,311.32,311.32,311.32,311.32,р,39.44,626.36,дз,631.01,874.4,626.36,Нет,57000,09.08.2021,,и,412,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,5100,Нет,Нет,3,
0,099YQ5,62.060821.001,62-060821-1-1,Классик,Нет,Нет,24.9,8000,8000,36,36,31,1,бе,нв,1,р,б,8,2,0,с,п,с,75,бу,Нет,Нет,Нет,1,0,1439.92,1439.92,770.03,770.03,р,39.31,2100,дф,1668.6,1388,1668.6,Нет,62000,06.08.2021,,зн,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,8000,Нет,Нет,38,
0,099HZY,65.060821.001,65-060821-1-1,Классик,Нет,Нет,24.9,4300,1000,36,36,53,2,бе,нв,2,с,р,0,0,0,сс,п,р,408,пп,Нет,Нет,Нет,0,0,651.35,651.35,500.88,500.88,р,38.92,1256.39,дз,910.68,1290.3,1256.39,Нет,65000,06.08.2021,,сб,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,1000,Нет,Нет,223,
1,099Y4E,65.060821.004,65-060821-1-2,Классик,Нет,Нет,24.9,7000,5000,36,36,36,1,бе,за,1,с,б,13,2,0,сс,п,вп,23,пп,Нет,Нет,Нет,1,0,414.92,414.92,414.92,414.92,р,23.17,1045,дз,962.41,1290.3,1045,Нет,65000,06.08.2021,,и,748,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,5000,Нет,Нет,23,
0,092D7R,66.060821.002,66-060821-1-1,Престиж,Да,Нет,24.9,1110,1110,36,36,52,2,бе,нв,1,с,р,0,0,0,сс,п,с,385,пп,Нет,Нет,Нет,0,0,308.25,308.25,307.14,307.14,р,8.8,623.29,дз,361.44,1290.3,623.29,Нет,66000,06.08.2021,,зн,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,1110,Нет,Нет,223,
0,757455,67.060821.001,67-060821-1-1,Премиум,Да,Нет,24.9,10000,10000,26,26,65,1,бе,за,1,с,б,40,0,0,с,п,р,25,пп,Нет,Нет,Нет,0,0,1469.53,1469.53,1419.6,1419.6,р,34.06,1784.57,ду,1702.23,1290.3,1734.64,Нет,67000,06.08.2021,,дк,,Нет,Нет,Нет,Нет,24.9,,26,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,10000,Нет,Нет,25,
0,098TKB,71.060821.002,71-090821-1-1,Престиж,Да,Нет,24.9,500,500,36,36,22,1,бе,нв,1,с,н,0,0,0,с,п,с,19,у,Нет,Нет,Нет,0,1,461.25,461.25,461.24,461.24,р,3.12,776.29,ду,798.29,874.4,776.28,Нет,71000,06.08.2021,,дк,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,500,Нет,Нет,20,
0,655555,81.060821.001,81-100821-1-1,Престиж,Да,Нет,24.9,2800,2400,36,36,58,2,ро,нв,1,с,б,19,0,0,в,п,р,6,у,Нет,Нет,Нет,0,0,176.28,176.28,148.32,148.32,р,39.74,581.32,р,181.32,874.4,576,Нет,81000,09.08.2021,,дк,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,2400,Нет,Нет,6,
0,099ZVH,83.060821.001,83-100821-1-1,Классик,Нет,Нет,24.9,7000,5000,36,36,24,1,бе,ос,2,р,н,0,0,0,сс,п,р,72,пп,Нет,Нет,Нет,1,2,834.96,834.96,1003.56,1003.56,р,18.38,1150,дф,1318.6,1290.3,1318.6,Нет,83000,09.08.2021,,зн,857,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,5000,Нет,Нет,72,
